global_id,broadcast_id,tacticam_id,similarity
1,8,15,0.9383470086519992
2,9,10,0.9658309953745162
3,10,8,0.9412264845106398
4,11,10,0.9535174317474713
5,12,22,0.9565206887122988
6,15,8,0.9468024341481742
7,16,3,0.9266795435663832
8,17,4,0.9637810749200212
9,18,9,0.9617606826281494
10,24,21,0.950476080842443
11,33,4,0.9527757082191581
12,36,24,0.9398824246159058
13,43,22,0.9259948222043338
14,44,26,0.9526738927698442
15,48,30,0.9345093700793963
